PomiarID,Wartosc
1,33.54
2,10.98
3,18.43
4,4.31
5,-10.52
6,-16.98
7,10.58
8,39.36
9,33.29
10,10.36
11,2.19
12,15.17
13,-25.14
14,23.07
15,31.17
16,-18.94
17,28.74
18,8.85
19,34.32
20,8.43
21,30.02
22,-20.62
23,-16.80
24,21.43
25,-16.51
26,-0.08
27,31.88
28,6.41
29,30.74
30,-29.71
31,2.73
32,28.78
33,-36.51
34,-22.33
35,30.78
36,36.62
37,-38.15
38,-20.20
39,-20.60
40,8.06
41,-17.47
42,-15.33
43,-33.83
44,17.39
45,2.31
46,35.75
47,40.15
48,21.06
49,-35.97
50,35.14
51,3.14
52,-28.77
53,13.15
54,-11.75
55,39.20
56,-1.85
57,-38.47
58,21.95
59,-23.91
60,37.63
61,-36.04
62,20.01
63,-10.82
64,21.84
65,21.58
66,-16.40
67,5.00
68,-23.07
69,-6.45
70,-31.72
71,35.69
72,-11.83
73,9.76
74,-25.05
75,22.21
76,29.90
77,14.16
78,4.01
79,-37.41
80,-1.97
81,7.08
82,-37.22
83,-22.62
84,-13.37
85,-30.47
86,23.70
87,-15.18
88,-22.31
89,10.69
90,-5.28
91,-6.68
92,-34.52
93,-11.40
94,11.06
95,-12.48
96,34.80
97,-16.34
98,13.27
99,37.26
100,32.46
101,-29.34
102,-8.42
103,31.18
104,-24.45
105,-25.03
106,-12.02
107,-16.62
108,-32.29
109,15.37
110,-32.33
111,22.45
112,-40.62
113,2.83
114,-28.39
115,-4.22
116,-23.59
117,0.58
118,-38.68
119,-19.65
120,-20.39
121,-14.44
122,25.77
123,-27.48
124,36.39
125,5.35
126,-14.79
127,9.41
128,-5.31
129,8.62
130,37.05
131,9.70
132,-4.30
133,-25.36
134,-31.00
135,-17.08
136,24.75
137,27.31
138,-36.32
139,-12.51
140,10.22
141,29.12
142,4.98
143,14.93
144,-23.69
145,40.03
146,-28.59
147,22.10
148,-8.37
149,29.87
150,-12.04
151,4.26
152,-32.03
153,19.36
154,22.63
155,24.50
156,27.83
157,10.52
158,-0.99
159,16.69
160,-9.94
161,-11.46
162,-19.45
163,8.74
164,-36.97
165,1.34
166,37.00
167,40.32
168,15.50
169,-13.52
170,20.09
171,-34.07
172,17.89
173,-27.81
174,4.89
175,19.98
176,24.58
177,36.43
178,0.36
179,-28.73
180,10.61
181,-32.28
182,2.19
183,-7.93
184,39.47
185,-3.23
186,-1.70
187,34.31
188,9.19
189,15.90
190,-35.42
191,9.07
192,30.19
193,36.16
194,12.00
195,-9.99
196,-28.62
197,-37.28
198,0.43
199,-2.14
200,-6.18
201,-32.65
202,35.52
203,37.26
204,-16.91
205,-40.43
206,25.20
207,-28.74
208,12.47
209,-0.27
210,-13.42
211,7.85
212,37.67
213,1.36
214,-36.20
215,26.89
216,-36.83
217,-30.08
218,17.13
219,38.93
220,33.96
221,3.01
222,28.84
223,-4.73
224,-8.53
225,40.73
226,23.21
227,36.94
228,10.69
229,2.03
230,0.77
231,25.66
232,-0.50
233,-10.78
234,17.11
235,-22.14
236,-21.51
237,-30.67
238,31.12
239,-28.94
240,-26.07
241,-0.85
242,-11.59
243,40.62
244,-15.37
245,22.42
246,-0.98
247,32.07
248,-32.55
249,-8.29
250,31.70
251,0.51
252,18.01
253,-1.60
254,-22.51
255,34.30
256,-31.92
257,37.29
258,-39.42
259,4.01
260,-17.33
261,-37.87
262,25.10
263,-13.75
264,-33.29
265,-1.46
266,-32.13
267,12.73
268,4.79
269,-4.18
270,10.15
271,-40.47
272,37.67
273,-26.28
274,36.56
275,19.50
276,-38.23
277,-5.59
278,1.75
279,-32.00
280,-14.58
281,32.36
282,-37.72
283,39.92
284,-34.28
285,35.14
286,-12.37
287,-7.33
288,-17.61
289,-28.35
290,39.95
291,39.24
292,-34.71
293,18.27
294,22.49
295,1.82
296,-15.23
297,24.64
298,-29.04
299,4.14
300,-33.16
301,-16.04
302,34.79
303,8.98
304,-18.56
305,-9.34
306,-38.53
307,-23.74
308,6.49
309,27.24
310,-31.54
311,-27.73
312,-4.32
313,11.64
314,-35.91
315,-6.34
316,-21.72
317,-6.23
318,-26.30
319,5.41
320,-29.79
321,-0.56
322,-0.95
323,36.77
324,33.91
325,34.48
326,-16.17
327,-10.07
328,29.98
329,-14.06
330,9.88
331,-28.03
332,-8.74
333,14.94
334,17.84
335,1.53
336,-0.71
337,-13.88
338,-0.35
339,-19.95
340,-10.37
341,-28.49
342,23.30
343,-40.33
344,2.38
345,-11.97
346,22.08
347,-29.50
348,-35.34
349,0.18
350,8.74
351,-33.66
352,8.82
353,-11.59
354,-15.30
355,5.45
356,-8.43
357,35.13
358,1.59
359,40.42
360,-33.57
361,-18.85
362,11.75
363,-27.62
364,32.52
365,-27.19
366,14.60
367,-7.11
368,2.96
369,25.25
370,-8.74
371,39.53
372,11.75
373,1.77
374,-40.20
375,-34.91
376,8.29
377,30.82
378,-25.70
379,8.43
380,-1.55
381,7.86
382,-39.92
383,7.31
384,-2.04
385,-16.86
386,-16.22
387,20.58
388,14.32
389,9.63
390,-14.72
391,-9.76
392,18.13
393,26.93
394,18.98
395,15.30
396,7.37
397,-37.08
398,8.11
399,21.59
400,4.42
401,33.16
402,-34.02
403,11.33
404,34.17
405,-24.16
406,23.61
407,35.77
408,-18.36
409,3.77
410,-12.63
411,-17.66
412,-19.06
413,28.57
414,17.74
415,24.33
416,-21.94
417,-30.64
418,-18.03
419,8.83
420,-14.79
421,39.32
422,11.60
423,-29.88
424,34.27
425,-16.39
426,7.20
427,6.71
428,29.21
429,13.69
430,9.83
431,-2.42
432,-23.15
433,-38.10
434,28.02
435,29.63
436,-19.79
437,-1.06
438,-20.69
439,-34.02
440,-26.48
441,6.53
442,-7.60
443,-8.33
444,0.17
445,12.18
446,-22.17
447,4.26
448,-15.11
449,37.37
450,25.15
451,-11.86
452,-40.79
453,38.61
454,-23.38
455,0.17
456,36.61
457,-9.08
458,-5.22
459,30.51
460,13.91
461,33.26
462,29.89
463,3.68
464,18.14
465,30.95
466,9.73
467,-12.45
468,10.39
469,38.80
470,-14.71
471,10.24
472,30.44
473,31.95
474,35.87
475,4.05
476,7.24
477,-35.04
478,29.64
479,2.46
480,26.66
481,-27.57
482,25.73
483,26.84
484,9.63
485,-40.94
486,4.76
487,28.64
488,-9.53
489,27.78
490,39.21
491,37.68
492,10.71
493,35.54
494,23.13
495,1.77
496,29.41
497,14.76
498,-10.25
499,-3.30
500,25.74
501,16.91
502,7.90
503,29.72
504,-22.57
505,19.93
506,19.34
507,-3.74
508,-12.52
509,-37.18
510,-6.51
511,-17.33
512,3.10
513,-4.81
514,28.54
515,-17.77
516,1.23
517,-36.01
518,-36.79
519,21.20
520,25.67
521,-38.54
522,-8.41
523,37.89
524,15.43
525,36.93
526,29.23
527,-39.50
528,13.44
529,17.38
530,-27.12
531,-23.85
532,23.71
533,19.91
534,36.92
535,-14.83
536,-32.31
537,2.76
538,-33.11
539,-39.44
540,2.12
541,12.40
542,-20.29
543,-34.86
544,-33.99
545,5.43
546,-20.94
547,-2.85
548,-10.15
549,-24.37
550,-21.65
551,-4.61
552,33.30
553,20.48
554,29.19
555,0.99
556,6.57
557,-5.44
558,-12.16
559,-15.66
560,-17.21
561,37.67
562,37.20
563,34.44
564,9.56
565,-9.52
566,19.78
567,23.73
568,26.95
569,-27.71
570,-23.75
571,37.77
572,11.77
573,-34.92
574,4.39
575,4.22
576,17.60
577,-4.10
578,-30.54
579,28.70
580,23.24
581,-31.51
582,20.30
583,32.20
584,-37.67
585,28.18
586,-25.52
587,2.12
588,-15.48
589,-11.42
590,23.75
591,-13.50
592,9.37
593,-10.34
594,1.09
595,26.30
596,-17.21
597,37.91
598,-17.80
599,3.25
600,12.31
601,39.50
602,-21.26
603,-15.52
604,35.26
605,-21.27
606,24.90
607,7.91
608,-2.91
609,-13.39
610,-26.53
611,1.34
612,30.87
613,30.36
614,18.56
615,4.03
616,23.09
617,-37.22
618,-2.02
619,2.15
620,-19.57
621,-28.07
622,0.64
623,28.50
624,-34.24
625,-22.28
626,12.71
627,-23.21
628,-28.35
629,38.65
630,12.43
631,30.49
632,-31.53
633,-33.42
634,-2.72
635,6.48
636,31.27
637,32.39
638,19.17
639,14.14
640,29.20
641,11.37
642,24.51
643,34.60
644,-33.76
645,-11.47
646,35.06
647,7.16
648,40.90
649,-11.39
650,-3.39
651,-8.19
652,-28.21
653,-18.10
654,7.45
655,27.80
656,-38.00
657,-7.60
658,15.74
659,28.25
660,-36.07
661,-34.71
662,-17.00
663,31.43
664,-22.64
665,7.42
666,-3.91
667,39.36
668,21.74
669,7.02
670,-7.88
671,29.03
672,25.23
673,5.29
674,-12.96
675,35.36
676,-35.03
677,-21.64
678,9.16
679,-2.77
680,-18.73
681,-23.15
682,-38.03
683,-32.25
684,22.52
685,-12.96
686,25.08
687,26.59
688,-28.81
689,-40.27
690,5.84
691,-10.55
692,-12.14
693,38.50
694,37.41
695,-26.55
696,36.24
697,1.78
698,-28.16
699,-34.89
700,-3.17
701,19.93
702,25.76
703,-0.77
704,10.56
705,6.54
706,7.69
707,-16.78
708,28.25
709,6.81
710,-29.15
711,-27.60
712,-11.94
713,-2.91
714,-35.86
715,1.05
716,1.59
717,40.40
718,-31.72
719,32.90
720,15.04
721,29.83
722,15.68
723,31.73
724,-20.23
725,15.37
726,23.40
727,32.57
728,-30.54
729,-22.01
730,19.03
731,9.30
732,-0.70
733,-22.46
734,-16.33
735,38.54
736,-24.84
737,-14.98
738,-23.86
739,0.10
740,38.78
741,1.75
742,-10.48
743,-23.39
744,28.93
745,16.57
746,-33.79
747,8.98
748,13.99
749,2.01
750,2.39
751,26.89
752,16.42
753,32.84
754,28.80
755,22.24
756,2.14
757,9.37
758,11.74
759,-11.41
760,2.66
761,40.35
762,10.01
763,29.16
764,12.73
765,3.03
766,-29.59
767,19.56
768,19.05
769,-11.55
770,4.69
771,1.89
772,-7.23
773,-20.55
774,-21.34
775,33.07
776,-24.01
777,-9.01
778,-33.57
779,-17.68
780,-38.04
781,-4.52
782,-36.71
783,-18.05
784,-37.75
785,2.37
786,39.23
787,13.89
788,-9.01
789,-9.57
790,32.17
791,-27.39
792,39.41
793,-23.10
794,-13.40
795,-0.03
796,36.95
797,39.26
798,27.05
799,16.06
800,-37.57
801,-8.31
802,-7.62
803,37.10
804,12.27
805,3.34
806,1.30
807,29.57
808,38.47
809,-37.77
810,-39.53
811,12.40
812,23.90
813,5.17
814,1.65
815,0.92
816,-9.96
817,-11.05
818,-33.26
819,-32.35
820,15.41
821,-33.83
822,13.27
823,-9.62
824,25.44
825,16.05
826,-38.13
827,-15.60
828,35.27
829,35.61
830,-29.52
831,17.08
832,-24.56
833,-7.34
834,18.30
835,-34.44
836,34.40
837,29.26
838,0.90
839,8.92
840,35.03
841,8.14
842,37.31
843,-27.12
844,26.01
845,-34.67
846,-30.14
847,-21.62
848,-12.14
849,-11.04
850,18.43
851,-3.41
852,-7.37
853,19.59
854,7.80
855,28.15
856,9.91
857,39.77
858,-20.10
859,-4.75
860,-25.56
861,-19.33
862,-14.33
863,24.06
864,22.42
865,6.74
866,38.75
867,-2.11
868,-21.85
869,-40.86
870,24.17
871,19.20
872,-28.25
873,12.09
874,40.61
875,-0.15
876,1.31
877,3.01
878,8.74
879,-38.58
880,-37.50
881,36.66
882,-16.23
883,11.37
884,-35.86
885,-12.09
886,-24.85
887,-26.54
888,-6.73
889,-6.85
890,-28.89
891,31.06
892,-26.01
893,-31.52
894,-38.63
895,20.88
896,18.15
897,-31.55
898,35.63
899,-10.49
900,-3.94
901,7.56
902,-21.93
903,-9.73
904,7.01
905,-30.79
906,-29.28
907,-1.44
908,-35.24
909,23.97
910,6.24
911,-1.37
912,29.85
913,-3.97
914,-38.30
915,17.72
916,-27.68
917,-24.78
918,19.62
919,-23.49
920,37.64
921,-34.76
922,-4.15
923,-15.71
924,-32.90
925,-0.53
926,-28.22
927,19.13
928,-37.69
929,29.22
930,36.79
931,17.47
932,1.26
933,-19.62
934,-19.29
935,-2.44
936,15.83
937,-38.75
938,25.19
939,7.82
940,9.24
941,12.71
942,33.71
943,-26.59
944,-28.05
945,1.29
946,-6.77
947,-37.98
948,-37.32
949,-18.22
950,20.63
951,22.03
952,24.21
953,-16.30
954,10.96
955,22.47
956,33.23
957,-2.74
958,36.92
959,35.83
960,0.06
961,28.35
962,-8.53
963,-30.36
964,-2.93
965,-6.87
966,-8.52
967,-5.09
968,11.53
969,-24.00
970,18.91
971,40.07
972,6.87
973,9.74
974,20.07
975,-10.29
976,7.62
977,14.29
978,12.95
979,12.95
980,-21.47
981,30.78
982,11.32
983,-11.21
984,33.55
985,31.66
986,-16.13
987,5.27
988,-21.91
989,-27.59
990,-32.66
991,-39.36
992,28.41
993,-12.44
994,-2.11
995,-29.94
996,-27.95
997,-26.58
998,-12.58
999,-5.22
1000,-5.27
1001,40.35
1002,26.51
1003,4.31
1004,3.21
1005,23.17
1006,-10.36
1007,-6.59
1008,-7.08
1009,-24.07
1010,-29.85
1011,18.03
1012,-4.10
1013,30.62
1014,-37.42
1015,3.88
1016,-30.21
1017,-35.90
1018,9.07
1019,-28.71
1020,12.00
1021,38.79
1022,11.03
1023,35.46
1024,20.97
1025,-24.40
1026,29.72
1027,7.01
1028,9.79
1029,-33.60
1030,12.91
1031,27.01
1032,1.38
1033,6.25
1034,33.58
1035,28.39
1036,-25.46
1037,4.14
1038,-2.57
1039,-10.97
1040,16.76
1041,23.54
1042,23.20
1043,-12.07
1044,-1.79
1045,10.66
1046,-31.06
1047,-32.65
1048,-3.06
1049,29.26
1050,-14.61
1051,36.92
1052,38.52
1053,25.79
1054,30.92
1055,-10.62
1056,40.95
1057,21.77
1058,-17.45
1059,13.90
1060,5.78
1061,8.04
1062,28.21
1063,10.92
1064,-30.71
1065,-19.05
1066,-18.13
1067,34.23
1068,11.04
1069,-20.13
1070,9.77
1071,-34.88
1072,-0.06
1073,9.75
1074,-16.78
1075,-12.64
1076,-8.63
1077,-14.39
1078,31.20
1079,-5.35
1080,36.64
1081,20.45
1082,-36.74
1083,-1.64
1084,-24.76
1085,40.86
1086,3.81
1087,40.27
1088,39.91
1089,-28.86
1090,-6.09
1091,23.85
1092,-16.31
1093,6.68
1094,-1.61
1095,-24.75
1096,6.79
1097,-7.28
1098,-28.18
1099,28.84
1100,6.86
1101,-33.79
1102,-17.06
1103,24.60
1104,-24.24
1105,11.96
1106,-9.14
1107,-2.49
1108,40.71
1109,22.39
1110,12.65
1111,-15.63
1112,14.80
1113,37.46
1114,36.68
1115,36.55
1116,37.48
1117,-20.50
1118,-7.22
1119,-31.96
1120,1.87
1121,14.77
1122,10.18
1123,24.94
1124,-13.39
1125,14.38
1126,11.76
1127,10.29
1128,29.12
1129,2.82
1130,-0.92
1131,21.78
1132,-20.76
1133,-32.06
1134,4.00
1135,-8.54
1136,-5.15
1137,-23.52
1138,36.23
1139,23.72
1140,-23.13
1141,-9.09
1142,28.34
1143,18.98
1144,-35.41
1145,7.36
1146,2.38
1147,-4.06
1148,-16.07
1149,30.05
1150,-32.25
1151,-3.87
1152,-27.58
1153,-24.81
1154,39.54
1155,-13.45
1156,28.07
1157,25.29
1158,-1.19
1159,-35.45
1160,16.10
1161,31.68
1162,-38.77
1163,20.43
1164,-4.55
1165,-3.34
1166,35.46
1167,14.10
1168,36.12
1169,-20.02
1170,40.54
1171,26.46
1172,-36.45
1173,22.91
1174,29.46
1175,-36.95
1176,-29.44
1177,12.36
1178,25.67
1179,-4.73
1180,20.21
1181,8.17
1182,-39.06
1183,14.22
1184,18.76
1185,30.97
1186,36.07
1187,-40.66
1188,37.97
1189,39.20
1190,-9.73
1191,2.84
1192,7.88
1193,-29.72
1194,24.65
1195,3.88
1196,14.51
1197,-17.36
1198,20.64
1199,39.87
1200,-26.73
1201,-12.95
1202,7.58
1203,-1.05
1204,-18.82
1205,9.17
1206,11.78
1207,-15.15
1208,17.17
1209,13.90
1210,1.31
1211,24.95
1212,-20.43
1213,30.87
1214,34.60
1215,18.84
1216,-16.63
1217,-35.28
1218,-26.13
1219,-30.11
1220,8.06
1221,-16.22
1222,-2.12
1223,-38.59
1224,-2.62
1225,31.72
1226,40.80
1227,-24.35
1228,31.06
1229,12.47
1230,13.15
1231,20.44
1232,-29.15
1233,-24.00
1234,-21.72
1235,28.40
1236,-4.94
1237,2.28
1238,-14.17
1239,-8.06
1240,10.93
1241,32.81
1242,36.28
1243,21.74
1244,-17.13
1245,33.76
1246,-38.48
1247,-40.12
1248,13.80
1249,-4.78
1250,-8.68
1251,5.41
1252,-26.40
1253,4.79
1254,39.81
1255,-31.50
1256,-5.08
1257,-18.59
1258,-37.17
1259,28.35
1260,-12.51
1261,-25.15
1262,-3.63
1263,11.99
1264,-1.08
1265,-33.29
1266,-34.26
1267,19.14
1268,-19.01
1269,11.73
1270,3.76
1271,-1.00
1272,-38.65
1273,-35.44
1274,37.32
1275,2.28
1276,-18.62
1277,-27.83
1278,-0.73
1279,10.87
1280,-35.21
1281,-9.94
1282,31.35
1283,9.10
1284,36.02
1285,37.45
1286,-16.66
1287,-9.52
1288,24.35
1289,-27.80
1290,-0.04
1291,28.82
1292,6.34
1293,-12.13
1294,8.12
1295,-1.77
1296,-30.43
1297,2.50
1298,10.78
1299,11.60
1300,22.62
1301,-40.63
1302,38.32
1303,-26.81
1304,21.74
1305,2.47
1306,20.59
1307,-27.38
1308,-39.23
1309,19.27
1310,-3.92
1311,7.09
1312,2.45
1313,-24.13
1314,-15.18
1315,33.27
1316,-32.37
1317,-12.46
1318,33.36
1319,9.95
1320,33.57
1321,-12.52
1322,11.22
1323,-38.68
1324,-30.14
1325,-2.51
1326,28.11
1327,-34.90
1328,-39.81
1329,1.22
1330,21.54
1331,2.74
1332,-22.15
1333,-7.40
1334,27.62
1335,30.68
1336,25.42
1337,-10.18
1338,30.51
1339,7.25
1340,40.46
1341,-30.12
1342,10.91
1343,-22.47
1344,-40.96
1345,-28.03
1346,-14.75
1347,-29.43
1348,13.03
1349,40.69
1350,7.91
1351,-27.61
1352,25.42
1353,34.65
1354,5.28
1355,-39.60
1356,-10.61
1357,-20.16
1358,-34.96
1359,-10.59
1360,7.14
1361,21.58
1362,-20.50
1363,27.29
1364,-40.32
1365,-7.43
1366,5.21
1367,6.20
1368,-3.86
1369,-12.63
1370,-25.91
1371,-5.11
1372,-40.63
1373,-30.64
1374,-5.90
1375,-39.40
1376,23.81
1377,14.46
1378,-2.71
1379,40.59
1380,11.68
1381,-33.98
1382,-30.64
1383,-17.67
1384,39.84
1385,38.45
1386,-23.11
1387,-34.13
1388,-3.49
1389,-35.48
1390,-9.25
1391,3.36
1392,16.47
1393,9.81
1394,-9.66
1395,16.54
1396,-13.96
1397,26.39
1398,-40.34
1399,-25.07
1400,-29.71
1401,15.82
1402,4.37
1403,-38.61
1404,-6.54
1405,-36.03
1406,29.75
1407,33.31
1408,24.65
1409,-30.03
1410,29.79
1411,0.94
1412,1.79
1413,35.71
1414,13.83
1415,-36.33
1416,26.16
1417,9.00
1418,-34.29
1419,35.28
1420,19.85
1421,-30.49
1422,-23.22
1423,-4.75
1424,33.58
1425,0.32
1426,-29.84
1427,-21.57
1428,31.70
1429,-40.71
1430,27.00
1431,-4.03
1432,-6.82
1433,34.69
1434,24.85
1435,-32.91
1436,30.33
1437,-13.72
1438,-15.87
1439,29.81
1440,-8.54
1441,-31.11
1442,-6.08
1443,21.96
1444,28.18
1445,0.48
1446,-17.49
1447,-26.55
1448,-15.90
1449,-39.55
1450,39.98
1451,19.81
1452,-32.21
1453,40.03
1454,-29.18
1455,-17.21
1456,-10.15
1457,-32.79
1458,36.76
1459,39.94
1460,-9.91
1461,-32.63
1462,-37.67
1463,-20.63
1464,32.24
1465,10.48
1466,2.37
1467,-32.29
1468,40.33
1469,-35.61
1470,-11.34
1471,15.63
1472,-6.31
1473,-0.94
1474,15.69
1475,20.52
1476,-19.28
1477,-3.84
1478,27.26
1479,-26.48
1480,34.19
1481,32.71
1482,-7.29
1483,-17.90
1484,25.64
1485,26.16
1486,30.83
1487,24.70
1488,28.12
1489,28.11
1490,-1.49
1491,15.96
1492,-12.30
1493,21.72
1494,40.05
1495,-24.84
1496,40.67
1497,19.92
1498,29.87
1499,-16.81
1500,36.44
1501,25.49
1502,-13.16
1503,7.09
1504,-40.82
1505,22.46
1506,-29.93
1507,-2.65
1508,22.32
1509,27.65
1510,32.00
1511,-14.99
1512,-10.96
1513,40.32
1514,-17.72
1515,40.35
1516,37.53
1517,36.54
1518,26.38
1519,-12.96
1520,34.96
1521,-6.85
1522,-3.78
1523,-22.78
1524,-6.41
1525,31.10
1526,-6.86
1527,12.08
1528,8.33
1529,34.22
1530,-34.17
1531,27.90
1532,27.67
1533,9.90
1534,9.36
1535,-19.63
1536,-5.46
1537,35.78
1538,5.39
1539,-34.47
1540,24.98
1541,-1.98
1542,-19.34
1543,9.47
1544,-14.58
1545,-27.80
1546,38.33
1547,-15.29
1548,37.53
1549,29.53
1550,34.96
1551,23.49
