UrzadzenieID,Szerokosc,Dlugosc
0,49.57,22.51
1,54.34,17.49
2,52.08,17.19
3,53.04,15.09
4,50.17,14.28
5,49.30,15.27
6,52.25,20.33
7,49.00,22.37
8,50.33,14.45
9,50.01,20.40
10,51.41,23.33
11,53.23,14.29
12,49.12,17.11
13,49.26,14.16
14,54.38,21.15
15,53.52,16.54
16,52.35,21.40
17,52.24,17.25
18,51.34,19.23
19,54.32,14.44
20,54.13,21.58
21,54.20,16.33
22,52.14,14.50
23,50.46,15.31
24,51.32,17.34
25,50.06,18.35
26,52.06,18.11
27,53.24,18.21
28,52.15,19.51
29,50.22,14.15
30,50.38,21.49
31,52.32,14.41
32,52.30,16.07
33,53.31,20.16
34,54.21,21.50
35,49.32,15.45
36,52.27,14.56
37,54.19,15.11
38,51.24,19.58
39,51.22,15.50
40,51.40,22.15
41,50.16,23.54
42,54.01,21.38
43,51.44,22.16
44,52.09,23.30
45,54.11,23.47
46,53.00,15.09
47,51.25,14.20
48,49.12,14.19
49,50.49,20.41
50,49.18,14.13
51,54.13,19.46
52,50.09,23.51
53,51.39,19.31
54,53.01,18.47
55,52.08,23.32
56,54.11,22.10
57,52.30,18.53
58,54.08,22.43
59,53.27,19.52
60,54.01,16.20
61,49.05,20.35
62,50.24,17.20
63,54.13,19.32
64,49.41,15.57
65,50.51,21.09
66,50.44,15.28
67,49.17,23.09
68,49.09,15.58
69,51.10,18.57
70,50.24,19.07
71,50.07,20.36
72,50.21,22.20
73,51.13,22.58
74,50.51,23.18
75,50.56,23.11
76,49.18,18.48
77,50.41,22.27
78,49.24,20.47
79,49.38,17.48
80,54.49,17.18
81,51.38,23.23
82,52.49,18.11
83,52.18,18.52
84,50.23,18.57
85,51.31,23.31
86,50.56,19.14
87,52.05,22.52
88,52.01,17.28
89,51.07,18.07
90,53.26,15.50
91,51.47,20.16
92,53.20,21.39
93,50.33,23.31
94,52.56,19.23
95,49.49,14.58
96,50.33,22.42
97,52.29,18.46
98,54.02,21.25
99,52.29,23.14
100,51.12,14.35
101,51.52,19.17
102,54.10,19.37
103,50.40,22.23
104,54.23,21.13
105,52.35,14.13
106,50.18,14.27
107,50.06,19.51
108,49.30,19.07
109,50.58,18.07
110,49.54,21.53
111,53.20,16.33
112,53.13,16.57
113,54.13,16.35
114,54.28,18.26
115,51.30,16.41
116,54.06,19.53
117,53.27,21.55
118,53.15,23.24
119,50.53,23.17
120,50.48,17.55
121,50.34,22.21
122,51.11,16.31
123,50.33,19.55
124,49.55,15.18
125,52.26,19.08
126,52.44,19.31
127,53.43,23.18
128,50.28,15.34
129,51.48,16.35
130,50.57,20.49
131,54.11,19.24
132,52.14,16.07
133,52.43,20.10
134,52.13,21.55
135,54.24,23.16
136,53.39,21.48
137,53.41,16.53
138,49.15,19.20
139,53.54,23.15
140,51.20,15.56
141,53.27,20.57
142,54.13,15.49
143,49.39,17.41
144,54.11,22.36
145,51.12,16.42
146,52.06,16.18
147,50.09,14.10
148,49.18,23.55
149,50.24,16.46
150,50.57,22.51
151,54.00,17.50
152,54.40,14.53
153,53.57,20.38
154,52.56,16.30
155,50.34,15.07
156,51.53,14.49
157,51.38,21.53
158,54.27,17.22
159,52.12,18.33
160,53.54,18.43
161,52.09,17.09
162,51.33,18.51
163,49.46,16.42
164,53.54,18.33
165,50.34,22.18
166,50.13,16.12
167,49.24,20.31
168,52.26,16.11
169,51.15,20.17
170,52.11,18.34
171,49.44,21.27
172,49.53,18.40
173,51.36,19.56
174,53.40,17.44
175,54.40,16.15
176,52.15,19.57
177,54.39,22.28
178,53.05,17.07
179,54.07,14.45
180,51.39,16.18
181,52.01,17.23
182,50.08,23.26
183,52.19,22.14
184,54.11,18.21
185,51.42,15.13
186,54.30,14.50
187,52.06,15.09
188,53.55,21.08
189,50.35,20.29
190,53.46,15.53
191,53.18,16.35
192,53.49,16.35
193,49.52,19.47
194,51.47,20.37
195,54.14,14.29
196,51.56,18.30
197,54.29,22.16
198,53.58,18.35
199,49.25,19.07
200,49.06,22.45
201,54.36,17.25
202,52.44,16.49
203,54.11,19.12
204,51.16,19.16
205,52.37,16.39
206,50.19,16.38
207,49.04,23.46
208,49.08,20.48
209,52.23,16.54
210,52.19,16.42
211,51.04,14.56
212,52.09,18.38
213,52.00,15.55
214,51.44,14.34
215,51.03,23.25
216,51.35,15.23
217,49.32,18.24
218,51.26,18.16
219,50.57,21.33
220,52.12,16.48
221,51.05,15.40
222,53.44,20.29
223,53.47,23.55
224,52.39,20.45
225,54.32,19.14
226,54.14,18.32
227,53.30,19.33
228,50.41,19.37
229,50.28,22.40
230,50.53,23.23
231,50.53,16.51
232,50.14,14.23
233,51.14,19.36
234,52.32,14.16
235,53.21,22.44
236,52.01,17.11
237,50.54,15.09
238,53.24,14.30
239,49.09,23.17
240,52.33,20.32
241,52.42,20.40
242,49.24,23.57
243,53.09,21.43
244,52.24,14.16
245,53.14,21.58
246,52.15,20.23
247,49.45,14.18
