IDUrzadzenia,IDPomiaru
0,1
0,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,10
2,11
2,12
2,13
2,14
2,15
3,16
3,17
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
5,27
6,28
6,29
7,30
7,31
7,32
7,33
7,34
8,35
8,36
8,37
8,38
9,39
9,40
9,41
9,42
9,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
11,53
11,54
11,55
11,56
11,57
11,58
12,59
12,60
12,61
12,62
12,63
12,64
12,65
13,66
13,67
13,68
13,69
13,70
13,71
13,72
14,73
14,74
14,75
14,76
15,77
15,78
15,79
15,80
15,81
15,82
15,83
16,84
16,85
17,86
17,87
17,88
17,89
17,90
17,91
17,92
18,93
18,94
18,95
18,96
18,97
19,98
20,99
20,100
20,101
20,102
20,103
20,104
21,105
22,106
23,107
23,108
24,109
24,110
25,111
25,112
25,113
25,114
25,115
25,116
25,117
25,118
25,119
26,120
27,121
27,122
27,123
28,124
28,125
28,126
28,127
29,128
29,129
29,130
30,131
31,132
31,133
31,134
31,135
32,136
32,137
32,138
32,139
32,140
33,141
34,142
34,143
34,144
35,145
36,146
36,147
36,148
37,149
37,150
37,151
37,152
37,153
37,154
37,155
37,156
37,157
38,158
38,159
38,160
38,161
38,162
38,163
39,164
39,165
40,166
40,167
40,168
40,169
40,170
40,171
41,172
41,173
41,174
41,175
41,176
41,177
41,178
41,179
41,180
42,181
43,182
43,183
43,184
43,185
43,186
43,187
43,188
43,189
43,190
44,191
45,192
45,193
45,194
45,195
46,196
46,197
46,198
46,199
46,200
46,201
46,202
46,203
47,204
47,205
47,206
48,207
48,208
48,209
48,210
48,211
48,212
48,213
48,214
49,215
50,216
50,217
50,218
50,219
50,220
50,221
50,222
51,223
51,224
51,225
51,226
51,227
52,228
52,229
52,230
52,231
52,232
52,233
52,234
52,235
53,236
53,237
53,238
53,239
53,240
53,241
53,242
54,243
54,244
55,245
55,246
56,247
56,248
56,249
56,250
56,251
56,252
56,253
56,254
56,255
57,256
57,257
57,258
57,259
57,260
58,261
58,262
58,263
58,264
58,265
59,266
59,267
59,268
59,269
59,270
59,271
59,272
60,273
60,274
60,275
60,276
60,277
60,278
61,279
61,280
61,281
62,282
62,283
62,284
62,285
62,286
62,287
62,288
63,289
63,290
63,291
63,292
63,293
63,294
64,295
64,296
64,297
65,298
65,299
65,300
66,301
67,302
67,303
67,304
67,305
68,306
69,307
69,308
69,309
69,310
69,311
69,312
69,313
70,314
70,315
70,316
70,317
71,318
71,319
71,320
71,321
71,322
71,323
72,324
72,325
73,326
73,327
73,328
73,329
73,330
73,331
73,332
74,333
74,334
74,335
74,336
74,337
74,338
74,339
74,340
75,341
75,342
75,343
75,344
75,345
75,346
75,347
76,348
76,349
76,350
76,351
76,352
76,353
76,354
76,355
77,356
77,357
77,358
77,359
78,360
78,361
78,362
78,363
78,364
78,365
79,366
79,367
79,368
80,369
80,370
80,371
80,372
80,373
81,374
82,375
82,376
82,377
82,378
82,379
82,380
82,381
82,382
82,383
83,384
83,385
83,386
83,387
83,388
83,389
83,390
84,391
84,392
84,393
84,394
84,395
84,396
85,397
85,398
85,399
85,400
85,401
85,402
86,403
86,404
86,405
86,406
87,407
87,408
87,409
87,410
88,411
88,412
89,413
89,414
89,415
89,416
89,417
89,418
89,419
89,420
90,421
90,422
90,423
90,424
90,425
90,426
91,427
91,428
91,429
92,430
92,431
92,432
92,433
93,434
93,435
93,436
93,437
93,438
94,439
94,440
94,441
94,442
94,443
95,444
95,445
95,446
95,447
95,448
95,449
96,450
96,451
96,452
96,453
96,454
96,455
96,456
96,457
97,458
97,459
97,460
98,461
98,462
98,463
98,464
98,465
99,466
