PomiarID,Wartosc
1,39.93
2,-23.02
3,-17.12
4,-19.38
5,-25.73
6,-18.91
7,40.15
8,18.20
9,-27.36
10,35.58
11,30.49
12,14.86
13,-7.92
14,32.80
15,24.18
16,-24.06
17,-12.25
18,6.32
19,-20.98
20,25.25
21,20.07
22,40.79
23,18.79
24,-11.88
25,-14.99
26,32.78
27,-22.87
28,7.34
29,2.43
30,-12.14
31,-15.55
32,-24.70
33,-20.57
34,-1.84
35,-0.27
36,-6.46
37,27.95
38,28.57
39,21.03
40,-34.73
41,-29.06
42,18.55
43,37.37
44,15.88
45,6.57
46,-40.45
47,-36.31
48,26.99
49,-14.02
50,6.25
51,5.46
52,24.67
53,7.72
54,14.87
55,-21.85
56,24.56
57,-30.21
58,17.65
59,6.62
60,-14.79
61,39.08
62,-6.08
63,-19.08
64,27.21
65,-37.04
66,-24.02
67,-2.34
68,5.21
69,11.01
70,29.06
71,-36.35
72,5.42
73,17.89
74,31.50
75,35.60
76,34.17
77,21.53
78,-40.55
79,-3.87
80,-8.98
81,-40.60
82,-30.08
83,-39.52
84,11.68
85,-31.19
86,25.95
87,-34.48
88,30.69
89,16.65
90,-4.70
91,-35.36
92,8.13
93,37.27
94,-40.53
95,-4.09
96,-36.88
97,-38.90
98,15.52
99,-38.62
100,-29.59
101,-20.47
102,6.15
103,35.19
104,-38.67
105,0.40
106,11.36
107,-13.74
108,14.51
109,34.36
110,33.25
111,-39.53
112,-23.89
113,10.83
114,4.44
115,24.52
116,8.63
117,-12.71
118,4.80
119,-8.98
120,-6.06
121,13.72
122,18.52
123,-10.72
124,6.88
125,-28.17
126,-9.72
127,3.64
128,7.24
129,25.24
130,-29.02
131,-23.01
132,27.78
133,-28.26
134,-5.07
135,-3.81
136,-17.06
137,10.19
138,20.83
139,33.62
140,-35.48
141,3.55
142,-27.84
143,1.25
144,19.26
145,6.06
146,2.96
147,-10.81
148,6.97
149,-14.10
150,13.84
151,-17.12
152,2.38
153,-11.08
154,19.89
155,11.56
156,-13.28
157,-21.83
158,9.17
159,0.48
160,-11.53
161,-6.18
162,-3.32
163,-16.86
164,-40.50
165,29.06
166,-37.38
167,-2.72
168,-4.07
169,-27.27
170,-25.85
171,28.71
172,-16.86
173,-2.03
174,-13.49
175,-6.08
176,-19.36
177,-37.98
178,12.11
179,27.35
180,11.70
181,-39.31
182,-14.15
183,27.97
184,20.95
185,-8.67
186,-17.85
187,-15.38
188,-14.68
189,-30.13
190,-7.55
191,-10.96
192,-15.56
193,-16.52
194,-9.96
195,27.61
196,-0.78
197,32.11
198,16.27
199,-29.94
200,-16.56
201,13.81
202,3.37
203,-10.10
204,-13.45
205,-31.80
206,17.41
207,-24.74
208,32.51
209,-28.93
210,34.87
211,-33.43
212,40.83
213,30.82
214,-30.34
215,18.12
216,24.21
217,-6.56
218,7.45
219,-10.41
220,-37.72
221,10.17
222,-18.91
223,20.00
224,24.47
225,23.22
226,-25.64
227,23.74
228,13.23
229,32.31
230,-30.11
231,30.28
232,-27.43
233,9.35
234,36.39
235,-36.65
236,-23.29
237,-12.32
238,-29.27
239,35.31
240,4.58
241,2.17
242,27.70
243,-35.08
244,-23.47
245,-23.83
246,-16.10
247,-0.55
248,-26.80
249,-29.80
250,23.10
251,6.56
252,-12.33
253,20.48
254,21.93
255,-12.47
256,0.26
257,-11.17
258,12.70
259,-19.14
260,-14.24
261,16.52
262,22.95
263,7.80
264,20.65
265,-34.44
266,-6.53
267,26.77
268,37.21
269,-6.98
270,12.59
271,21.91
272,-23.33
273,8.44
274,-15.51
275,31.18
276,-38.52
277,-0.34
278,28.86
279,-7.92
280,29.73
281,-9.81
282,20.70
283,26.46
284,32.32
285,-9.26
286,-17.69
287,10.16
288,9.11
289,5.84
290,-6.95
291,-39.39
292,25.06
293,36.57
294,22.97
295,21.37
296,11.33
297,-38.73
298,-1.02
299,-20.09
300,-23.33
301,-31.62
302,27.03
303,15.17
304,21.52
305,5.56
306,-29.31
307,-14.29
308,14.24
309,9.16
310,13.12
311,21.82
312,0.54
313,-16.53
314,-13.92
315,-26.73
316,30.88
317,-7.69
318,-22.31
319,32.12
320,-15.20
321,17.03
322,-37.01
323,-38.06
324,35.01
325,-37.81
326,35.88
327,-22.27
328,35.21
329,24.50
330,20.87
331,33.61
332,27.67
333,25.54
334,-29.66
335,-23.48
336,9.36
337,2.49
338,11.70
339,40.60
340,-6.68
341,39.27
342,-31.15
343,-8.97
344,-10.13
345,0.62
346,34.85
347,1.59
348,-10.15
349,-18.86
350,14.70
351,36.19
352,32.41
353,-38.39
354,-34.38
355,10.11
356,26.90
357,-17.44
358,-2.42
359,-24.11
360,-21.25
361,17.49
362,6.21
363,24.20
364,19.71
365,-17.15
366,30.52
367,12.84
368,11.61
369,26.44
370,17.57
371,-16.02
372,3.48
373,36.38
374,27.06
375,8.38
376,-33.88
377,-9.12
378,-27.35
379,-27.39
380,30.33
381,-9.37
382,-35.35
383,-34.48
384,-20.24
385,1.43
386,-23.29
387,13.62
388,23.49
389,19.82
390,-22.23
391,-40.69
392,36.95
393,-35.83
394,-21.06
395,-1.87
396,13.88
397,10.26
398,32.68
399,9.65
400,18.10
401,-16.62
402,-34.69
403,19.36
404,-9.66
405,14.34
406,19.47
407,-11.72
408,-19.18
409,-10.42
410,-8.68
411,31.35
412,22.48
413,-32.14
414,12.02
415,-25.01
416,-2.15
417,-31.97
418,-0.37
419,-6.09
420,40.23
421,24.47
422,7.58
423,-6.14
424,-39.89
