UrzadzenieID,Szerokosc,Dlugosc
0,49.49,16.34
1,50.38,22.49
2,51.41,18.38
3,51.25,17.28
4,53.20,16.43
5,49.35,16.26
6,53.27,17.37
7,52.01,16.37
8,49.31,21.42
9,51.03,15.33
10,54.35,15.13
11,49.34,23.56
12,50.01,19.38
13,54.18,22.43
14,53.25,18.41
15,50.23,19.07
16,51.32,16.56
17,50.17,15.15
18,53.50,14.38
19,49.12,16.53
20,50.05,21.55
21,54.31,17.54
22,50.28,16.26
23,51.09,15.29
24,49.40,19.09
25,53.14,22.29
26,51.11,20.17
27,50.42,18.50
28,50.27,17.35
29,53.05,20.24
30,49.50,14.37
31,53.14,16.45
32,51.30,22.18
33,50.35,17.44
34,52.41,16.37
35,51.17,17.41
36,54.27,20.41
37,54.16,17.21
38,51.48,16.17
39,49.55,21.16
40,52.13,18.34
41,51.56,19.30
42,53.42,20.54
43,51.03,21.49
44,49.12,16.28
45,54.46,23.23
46,50.17,21.19
47,54.41,18.16
48,49.07,15.56
49,53.21,20.12
50,52.02,21.15
51,52.45,17.45
52,49.20,18.50
53,54.21,20.47
54,50.20,22.16
55,50.00,14.15
56,50.16,21.42
57,49.41,15.51
58,54.35,23.37
59,53.30,18.24
60,51.09,22.21
61,53.47,22.22
62,49.15,20.52
63,50.54,18.10
64,49.38,21.15
65,49.13,23.11
66,50.32,17.48
67,52.39,17.52
68,52.19,22.38
69,49.53,18.08
70,50.41,19.53
71,53.16,21.58
72,54.41,19.48
73,49.57,20.18
74,52.45,22.26
75,49.15,15.11
76,51.07,15.17
77,51.53,16.19
78,52.53,17.07
79,49.08,18.26
80,50.10,21.30
81,49.03,15.39
82,50.23,20.08
83,51.52,19.10
84,49.26,17.19
85,51.40,19.45
86,54.40,18.48
87,51.52,16.58
88,54.18,17.12
89,52.43,19.57
90,54.49,19.53
91,52.58,17.29
92,53.50,21.18
93,50.50,14.11
94,49.44,19.17
95,50.05,17.52
96,49.35,20.15
97,50.11,17.28
98,51.40,18.40
99,51.35,22.42
100,52.27,15.34
101,51.42,21.18
102,50.14,21.57
103,49.00,21.27
104,52.20,23.47
