IDUrzadzenia,IDPomiaru
0,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
3,17
3,18
3,19
3,20
4,21
4,22
4,23
5,24
5,25
5,26
5,27
6,28
6,29
6,30
6,31
7,32
7,33
7,34
7,35
7,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
9,45
9,46
9,47
9,48
9,49
10,50
10,51
11,52
11,53
11,54
11,55
11,56
12,57
12,58
12,59
12,60
12,61
13,62
13,63
13,64
13,65
13,66
13,67
14,68
14,69
14,70
14,71
14,72
15,73
15,74
15,75
15,76
16,77
16,78
16,79
17,80
17,81
17,82
17,83
18,84
18,85
18,86
18,87
18,88
18,89
18,90
19,91
20,92
21,93
21,94
21,95
21,96
21,97
21,98
22,99
22,100
22,101
22,102
23,103
24,104
24,105
24,106
24,107
24,108
24,109
24,110
24,111
24,112
25,113
26,114
26,115
26,116
26,117
26,118
26,119
27,120
28,121
28,122
29,123
29,124
30,125
30,126
30,127
30,128
30,129
31,130
31,131
31,132
32,133
32,134
32,135
32,136
32,137
33,138
33,139
33,140
34,141
34,142
34,143
35,144
35,145
35,146
35,147
35,148
35,149
35,150
36,151
36,152
36,153
36,154
36,155
37,156
37,157
37,158
37,159
37,160
37,161
37,162
37,163
38,164
38,165
38,166
38,167
38,168
38,169
38,170
38,171
39,172
39,173
39,174
39,175
39,176
40,177
40,178
40,179
40,180
41,181
41,182
41,183
42,184
42,185
43,186
43,187
43,188
43,189
43,190
43,191
43,192
43,193
44,194
44,195
44,196
44,197
44,198
44,199
44,200
44,201
44,202
45,203
45,204
45,205
45,206
46,207
46,208
46,209
46,210
47,211
47,212
47,213
47,214
47,215
48,216
48,217
48,218
48,219
48,220
48,221
48,222
48,223
49,224
49,225
49,226
49,227
49,228
50,229
51,230
51,231
51,232
51,233
51,234
51,235
51,236
51,237
52,238
52,239
52,240
52,241
53,242
53,243
53,244
53,245
53,246
53,247
53,248
53,249
53,250
54,251
54,252
54,253
54,254
54,255
54,256
54,257
54,258
55,259
55,260
55,261
55,262
55,263
55,264
56,265
56,266
56,267
56,268
56,269
56,270
57,271
57,272
57,273
57,274
57,275
57,276
57,277
58,278
58,279
58,280
58,281
58,282
58,283
58,284
58,285
58,286
59,287
59,288
59,289
59,290
59,291
59,292
59,293
59,294
60,295
60,296
60,297
60,298
60,299
61,300
61,301
61,302
61,303
61,304
61,305
61,306
62,307
62,308
62,309
62,310
62,311
62,312
62,313
62,314
63,315
63,316
64,317
64,318
64,319
64,320
64,321
64,322
64,323
65,324
65,325
65,326
65,327
65,328
66,329
67,330
67,331
67,332
67,333
67,334
67,335
67,336
67,337
67,338
68,339
68,340
68,341
68,342
68,343
69,344
69,345
69,346
69,347
69,348
70,349
70,350
70,351
71,352
71,353
71,354
71,355
71,356
71,357
71,358
71,359
72,360
72,361
73,362
73,363
73,364
73,365
73,366
73,367
73,368
74,369
74,370
75,371
75,372
75,373
75,374
75,375
76,376
76,377
76,378
76,379
77,380
77,381
77,382
77,383
77,384
78,385
78,386
78,387
78,388
79,389
79,390
79,391
79,392
79,393
79,394
79,395
79,396
80,397
81,398
81,399
81,400
81,401
82,402
82,403
82,404
82,405
82,406
82,407
83,408
83,409
83,410
84,411
84,412
84,413
84,414
84,415
85,416
85,417
85,418
85,419
86,420
86,421
86,422
86,423
87,424
87,425
87,426
87,427
87,428
87,429
88,430
89,431
89,432
90,433
91,434
91,435
92,436
92,437
92,438
92,439
92,440
92,441
92,442
92,443
93,444
93,445
93,446
93,447
94,448
94,449
94,450
94,451
94,452
95,453
95,454
95,455
95,456
96,457
96,458
96,459
96,460
96,461
96,462
96,463
96,464
96,465
97,466
97,467
97,468
98,469
98,470
98,471
98,472
98,473
98,474
98,475
98,476
98,477
99,478
99,479
99,480
100,481
100,482
100,483
100,484
100,485
100,486
100,487
100,488
100,489
101,490
101,491
101,492
101,493
101,494
101,495
101,496
101,497
102,498
102,499
102,500
102,501
102,502
102,503
102,504
102,505
102,506
103,507
103,508
103,509
103,510
103,511
103,512
103,513
103,514
104,515
105,516
105,517
105,518
105,519
105,520
105,521
105,522
105,523
105,524
106,525
106,526
106,527
107,528
107,529
107,530
107,531
107,532
107,533
107,534
108,535
108,536
108,537
109,538
110,539
110,540
110,541
110,542
110,543
110,544
110,545
111,546
111,547
111,548
111,549
111,550
111,551
111,552
111,553
112,554
112,555
112,556
112,557
112,558
112,559
112,560
112,561
112,562
113,563
113,564
113,565
113,566
113,567
113,568
113,569
113,570
113,571
114,572
114,573
114,574
114,575
114,576
114,577
114,578
115,579
115,580
115,581
115,582
115,583
115,584
116,585
116,586
116,587
116,588
116,589
116,590
116,591
117,592
117,593
117,594
117,595
117,596
117,597
117,598
117,599
117,600
118,601
118,602
118,603
118,604
118,605
118,606
118,607
119,608
119,609
119,610
119,611
119,612
119,613
119,614
120,615
121,616
121,617
121,618
122,619
122,620
122,621
122,622
123,623
123,624
123,625
123,626
124,627
125,628
125,629
125,630
125,631
125,632
125,633
126,634
126,635
127,636
127,637
127,638
127,639
127,640
127,641
127,642
127,643
128,644
128,645
128,646
128,647
128,648
128,649
128,650
128,651
128,652
129,653
129,654
129,655
129,656
129,657
129,658
129,659
129,660
130,661
130,662
130,663
130,664
130,665
131,666
131,667
131,668
131,669
131,670
131,671
131,672
132,673
132,674
132,675
132,676
133,677
134,678
134,679
134,680
134,681
134,682
135,683
135,684
135,685
135,686
135,687
135,688
135,689
135,690
136,691
136,692
136,693
137,694
137,695
137,696
138,697
138,698
138,699
138,700
138,701
138,702
138,703
138,704
139,705
139,706
139,707
139,708
139,709
139,710
139,711
140,712
140,713
140,714
140,715
140,716
141,717
141,718
141,719
141,720
141,721
141,722
141,723
142,724
142,725
142,726
142,727
142,728
142,729
142,730
142,731
143,732
144,733
144,734
144,735
145,736
145,737
145,738
145,739
146,740
146,741
146,742
146,743
146,744
147,745
147,746
147,747
147,748
147,749
148,750
148,751
148,752
148,753
148,754
149,755
149,756
149,757
149,758
149,759
149,760
150,761
150,762
150,763
151,764
151,765
151,766
151,767
151,768
152,769
152,770
152,771
152,772
152,773
152,774
152,775
152,776
152,777
153,778
154,779
155,780
155,781
156,782
157,783
157,784
157,785
157,786
157,787
158,788
158,789
159,790
159,791
160,792
160,793
160,794
160,795
160,796
160,797
160,798
160,799
161,800
161,801
161,802
161,803
162,804
162,805
163,806
163,807
163,808
163,809
163,810
163,811
163,812
163,813
163,814
164,815
164,816
164,817
164,818
165,819
166,820
166,821
166,822
166,823
166,824
166,825
166,826
166,827
167,828
167,829
167,830
167,831
167,832
167,833
167,834
167,835
167,836
168,837
168,838
168,839
168,840
168,841
168,842
168,843
168,844
168,845
169,846
170,847
170,848
170,849
170,850
170,851
170,852
170,853
170,854
170,855
171,856
172,857
172,858
172,859
172,860
172,861
172,862
172,863
172,864
172,865
173,866
174,867
174,868
174,869
175,870
176,871
176,872
176,873
176,874
176,875
176,876
176,877
177,878
177,879
177,880
177,881
177,882
177,883
177,884
178,885
178,886
178,887
178,888
178,889
178,890
178,891
179,892
180,893
180,894
180,895
180,896
180,897
180,898
181,899
181,900
181,901
181,902
181,903
181,904
181,905
182,906
182,907
182,908
182,909
182,910
183,911
184,912
184,913
184,914
184,915
184,916
184,917
184,918
184,919
185,920
185,921
185,922
185,923
185,924
185,925
185,926
185,927
185,928
186,929
186,930
186,931
186,932
186,933
186,934
187,935
187,936
187,937
187,938
187,939
188,940
188,941
188,942
188,943
188,944
188,945
188,946
188,947
188,948
189,949
189,950
190,951
190,952
190,953
191,954
191,955
192,956
192,957
193,958
193,959
193,960
